sample_id,split,speaker_id,noise_id,noise_category,provenance,target_snr_db,actual_snr_db,speech_leakage_ratio,delay_samples,gain_mismatch_db,duration_sec,primary_rms,reference_rms,primary_path,reference_path,clean_path,sha256_hash
SPK_001__artillery_blast_dhanush__+10dB,TEST_C_UNSEEN_NOISE_CATEGORY,SPK_001,artillery_blast_dhanush,IMPULSIVE_DEFENCE,STANDARDIZED_SIMULATION,10.0,10.0,0.0,0,0.0,3.0,0.093817,0.028285,mixed\TEST_C_UNSEEN_NOISE_CATEGORY\SPK_001__artillery_blast_dhanush__+10dB__primary.wav,mixed\TEST_C_UNSEEN_NOISE_CATEGORY\SPK_001__artillery_blast_dhanush__+10dB__reference.wav,clean\SPK_001_clean.wav,8e3d50b18847c5a39d2154658b9fe693142fa89f97c2c12380713d8741fa7414
SPK_002__tank_engine_t90__-10dB,TRAIN,SPK_002,tank_engine_t90,STATIONARY,STANDARDIZED_SIMULATION,-10.0,-10.0,0.0,0,0.0,3.0,0.329611,0.314307,mixed\TRAIN\SPK_002__tank_engine_t90__-10dB__primary.wav,mixed\TRAIN\SPK_002__tank_engine_t90__-10dB__reference.wav,clean\SPK_002_clean.wav,630fc42812e8d265f53c2455fc2b62b68ed6b077f45ae2c2bc754b46a83edeff
SPK_002__diesel_idle_apc__-5dB,TRAIN,SPK_002,diesel_idle_apc,STATIONARY,STANDARDIZED_SIMULATION,-5.0,-5.0,0.0,0,0.0,3.0,0.202744,0.176748,mixed\TRAIN\SPK_002__diesel_idle_apc__-5dB__primary.wav,mixed\TRAIN\SPK_002__diesel_idle_apc__-5dB__reference.wav,clean\SPK_002_clean.wav,d933533b4dcd8da66c301135ded657b66a5254031adf24f160f6be7e60fcfc65
SPK_002__generator_hum_50hz__+15dB,TRAIN,SPK_002,generator_hum_50hz,STATIONARY,STANDARDIZED_SIMULATION,15.0,15.0,0.0,0,0.0,3.0,0.100945,0.017675,mixed\TRAIN\SPK_002__generator_hum_50hz__+15dB__primary.wav,mixed\TRAIN\SPK_002__generator_hum_50hz__+15dB__reference.wav,clean\SPK_002_clean.wav,a78fe75cdb874320328177409e05f78c457094c27bf85a27671767400771a41b
SPK_002__helicopter_rotor_dhruv__+0dB,TRAIN,SPK_002,helicopter_rotor_dhruv,PERIODIC_ROTOR,STANDARDIZED_SIMULATION,0.0,-0.0,0.0,0,0.0,3.0,0.140534,0.099393,mixed\TRAIN\SPK_002__helicopter_rotor_dhruv__+0dB__primary.wav,mixed\TRAIN\SPK_002__helicopter_rotor_dhruv__+0dB__reference.wav,clean\SPK_002_clean.wav,72872e567ca6bf023d832424ad378b41f1105f7b43854669ad7531957221422a
SPK_002__propeller_rotor_an32__+5dB,TRAIN,SPK_002,propeller_rotor_an32,PERIODIC_ROTOR,STANDARDIZED_SIMULATION,5.0,5.0,0.0,0,0.0,3.0,0.11401,0.055893,mixed\TRAIN\SPK_002__propeller_rotor_an32__+5dB__primary.wav,mixed\TRAIN\SPK_002__propeller_rotor_an32__+5dB__reference.wav,clean\SPK_002_clean.wav,8670dd7e7fba6b222caa39d602c674459a7decf2ddbadec542a0018d03e6c3bd
SPK_002__vehicle_acceleration_track__+15dB,TRAIN,SPK_002,vehicle_acceleration_track,NON_STATIONARY,STANDARDIZED_SIMULATION,15.0,15.0,0.0,0,0.0,3.0,0.100945,0.017675,mixed\TRAIN\SPK_002__vehicle_acceleration_track__+15dB__primary.wav,mixed\TRAIN\SPK_002__vehicle_acceleration_track__+15dB__reference.wav,clean\SPK_002_clean.wav,7729576c35b8ac23d6f9269e34f2aee8319d61fa651850c07283a2bb1c1452d1
SPK_002__tactical_siren_sweep__+5dB,TRAIN,SPK_002,tactical_siren_sweep,NON_STATIONARY,STANDARDIZED_SIMULATION,5.0,5.0,0.0,0,0.0,3.0,0.11401,0.055893,mixed\TRAIN\SPK_002__tactical_siren_sweep__+5dB__primary.wav,mixed\TRAIN\SPK_002__tactical_siren_sweep__+5dB__reference.wav,clean\SPK_002_clean.wav,ce87096ac5644e8d7b0c94cc0217ef7b492ac544f2aa9457b54caae94745d22d
SPK_002__tank_engine_heldout_rec__-5dB,TEST_B_UNSEEN_NOISE_REC,SPK_002,tank_engine_heldout_rec,STATIONARY,STANDARDIZED_SIMULATION,-5.0,-5.0,0.15,0,0.0,3.0,0.202744,0.17737,mixed\TEST_B_UNSEEN_NOISE_REC\SPK_002__tank_engine_heldout_rec__-5dB__primary.wav,mixed\TEST_B_UNSEEN_NOISE_REC\SPK_002__tank_engine_heldout_rec__-5dB__reference.wav,clean\SPK_002_clean.wav,d933533b4dcd8da66c301135ded657b66a5254031adf24f160f6be7e60fcfc65
SPK_002__helicopter_rotor_heldout_rec__+0dB,TEST_B_UNSEEN_NOISE_REC,SPK_002,helicopter_rotor_heldout_rec,PERIODIC_ROTOR,STANDARDIZED_SIMULATION,0.0,-0.0,0.15,0,0.0,3.0,0.140534,0.100499,mixed\TEST_B_UNSEEN_NOISE_REC\SPK_002__helicopter_rotor_heldout_rec__+0dB__primary.wav,mixed\TEST_B_UNSEEN_NOISE_REC\SPK_002__helicopter_rotor_heldout_rec__+0dB__reference.wav,clean\SPK_002_clean.wav,72872e567ca6bf023d832424ad378b41f1105f7b43854669ad7531957221422a
SPK_002__gunfire_transient_insas__-10dB,TEST_C_UNSEEN_NOISE_CATEGORY,SPK_002,gunfire_transient_insas,IMPULSIVE_DEFENCE,STANDARDIZED_SIMULATION,-10.0,-10.0,0.0,0,0.0,3.0,0.329329,0.314307,mixed\TEST_C_UNSEEN_NOISE_CATEGORY\SPK_002__gunfire_transient_insas__-10dB__primary.wav,mixed\TEST_C_UNSEEN_NOISE_CATEGORY\SPK_002__gunfire_transient_insas__-10dB__reference.wav,clean\SPK_002_clean.wav,8f0e499c94044370d10cad375b7b6f81830347b1d07b5e2d8d26dfe0908ab38a
SPK_002__artillery_blast_dhanush__-5dB,TEST_C_UNSEEN_NOISE_CATEGORY,SPK_002,artillery_blast_dhanush,IMPULSIVE_DEFENCE,STANDARDIZED_SIMULATION,-5.0,-5.0,0.0,0,0.0,3.0,0.202812,0.176748,mixed\TEST_C_UNSEEN_NOISE_CATEGORY\SPK_002__artillery_blast_dhanush__-5dB__primary.wav,mixed\TEST_C_UNSEEN_NOISE_CATEGORY\SPK_002__artillery_blast_dhanush__-5dB__reference.wav,clean\SPK_002_clean.wav,d74cbe044ede3cdff3de90f2637a4b644004e1399999c4e7c48ab9d6dc76ad9b
SPK_003__tank_engine_t90__-10dB,TRAIN,SPK_003,tank_engine_t90,STATIONARY,STANDARDIZED_SIMULATION,-10.0,-10.0,0.0,2,0.0,3.0,0.348199,0.331992,mixed\TRAIN\SPK_003__tank_engine_t90__-10dB__primary.wav,mixed\TRAIN\SPK_003__tank_engine_t90__-10dB__reference.wav,clean\SPK_003_clean.wav,4566dbc677fd466769e1ff884e5a11499cf539a57b9c2055d6df14210cb0b1a4
SPK_003__diesel_idle_apc__+10dB,TRAIN,SPK_003,diesel_idle_apc,STATIONARY,STANDARDIZED_SIMULATION,10.0,10.0,0.0,2,0.0,3.0,0.11011,0.033199,mixed\TRAIN\SPK_003__diesel_idle_apc__+10dB__primary.wav,mixed\TRAIN\SPK_003__diesel_idle_apc__+10dB__reference.wav,clean\SPK_003_clean.wav,3d8da7f13c25abed524e981ea4d6934c637a4223016d09aed2d93d3966cbeca8
SPK_003__generator_hum_50hz__+15dB,TRAIN,SPK_003,generator_hum_50hz,STATIONARY,STANDARDIZED_SIMULATION,15.0,15.0,0.0,2,0.0,3.0,0.106633,0.018669,mixed\TRAIN\SPK_003__generator_hum_50hz__+15dB__primary.wav,mixed\TRAIN\SPK_003__generator_hum_50hz__+15dB__reference.wav,clean\SPK_003_clean.wav,8f2ba2710988ce97f451f522161032c78d3d05649e9414ccb1fb274c72bb1224
SPK_003__helicopter_rotor_dhruv__+10dB,TRAIN,SPK_003,helicopter_rotor_dhruv,PERIODIC_ROTOR,STANDARDIZED_SIMULATION,10.0,10.0,0.0,2,0.0,3.0,0.110137,0.033199,mixed\TRAIN\SPK_003__helicopter_rotor_dhruv__+10dB__primary.wav,mixed\TRAIN\SPK_003__helicopter_rotor_dhruv__+10dB__reference.wav,clean\SPK_003_clean.wav,3328b6bf936bb577dd59b8f1f4a804506a08b9db843f7061bab8a005a971e465
SPK_003__propeller_rotor_an32__+10dB,TRAIN,SPK_003,propeller_rotor_an32,PERIODIC_ROTOR,STANDARDIZED_SIMULATION,10.0,10.0,0.0,2,0.0,3.0,0.110137,0.033199,mixed\TRAIN\SPK_003__propeller_rotor_an32__+10dB__primary.wav,mixed\TRAIN\SPK_003__propeller_rotor_an32__+10dB__reference.wav,clean\SPK_003_clean.wav,a6704834b2bb01e0f4193b572b20029a1107e4dc1c8d0029c32b9bc6f8b12a0c
SPK_003__vehicle_acceleration_track__-5dB,TRAIN,SPK_003,vehicle_acceleration_track,NON_STATIONARY,STANDARDIZED_SIMULATION,-5.0,-5.0,0.0,2,0.0,3.0,0.214189,0.186693,mixed\TRAIN\SPK_003__vehicle_acceleration_track__-5dB__primary.wav,mixed\TRAIN\SPK_003__vehicle_acceleration_track__-5dB__reference.wav,clean\SPK_003_clean.wav,2e9d71c45d34eec1bf32e418ea6e1d351eceaa44931d2945b03fba12170b679e
SPK_003__tactical_siren_sweep__+0dB,TRAIN,SPK_003,tactical_siren_sweep,NON_STATIONARY,STANDARDIZED_SIMULATION,0.0,-0.0,0.0,2,0.0,3.0,0.148537,0.104985,mixed\TRAIN\SPK_003__tactical_siren_sweep__+0dB__primary.wav,mixed\TRAIN\SPK_003__tactical_siren_sweep__+0dB__reference.wav,clean\SPK_003_clean.wav,a0692f5ff834b9c01c5ad47878dee3be1ff5121415abdaf5799cefc7862f230e
SPK_003__tank_engine_heldout_rec__+10dB,TEST_B_UNSEEN_NOISE_REC,SPK_003,tank_engine_heldout_rec,STATIONARY,STANDARDIZED_SIMULATION,10.0,10.0,0.15,2,0.0,3.0,0.11011,0.036718,mixed\TEST_B_UNSEEN_NOISE_REC\SPK_003__tank_engine_heldout_rec__+10dB__primary.wav,mixed\TEST_B_UNSEEN_NOISE_REC\SPK_003__tank_engine_heldout_rec__+10dB__reference.wav,clean\SPK_003_clean.wav,3d8da7f13c25abed524e981ea4d6934c637a4223016d09aed2d93d3966cbeca8
SPK_003__helicopter_rotor_heldout_rec__+15dB,TEST_B_UNSEEN_NOISE_REC,SPK_003,helicopter_rotor_heldout_rec,PERIODIC_ROTOR,STANDARDIZED_SIMULATION,15.0,15.0,0.15,2,0.0,3.0,0.106649,0.024425,mixed\TEST_B_UNSEEN_NOISE_REC\SPK_003__helicopter_rotor_heldout_rec__+15dB__primary.wav,mixed\TEST_B_UNSEEN_NOISE_REC\SPK_003__helicopter_rotor_heldout_rec__+15dB__reference.wav,clean\SPK_003_clean.wav,ec94e03b24b4d43fa349c45d3e6ebfc1573190fa768d90a343a3868b9626b8a9
SPK_003__gunfire_transient_insas__+5dB,TEST_C_UNSEEN_NOISE_CATEGORY,SPK_003,gunfire_transient_insas,IMPULSIVE_DEFENCE,STANDARDIZED_SIMULATION,5.0,5.0,0.0,2,0.0,3.0,0.120339,0.059038,mixed\TEST_C_UNSEEN_NOISE_CATEGORY\SPK_003__gunfire_transient_insas__+5dB__primary.wav,mixed\TEST_C_UNSEEN_NOISE_CATEGORY\SPK_003__gunfire_transient_insas__+5dB__reference.wav,clean\SPK_003_clean.wav,c9cb4a4db06639704e19dc018462abf1984545de2233147bea906a2514ab2da9
SPK_003__artillery_blast_dhanush__-10dB,TEST_C_UNSEEN_NOISE_CATEGORY,SPK_003,artillery_blast_dhanush,IMPULSIVE_DEFENCE,STANDARDIZED_SIMULATION,-10.0,-10.0,0.0,2,0.0,3.0,0.348229,0.331993,mixed\TEST_C_UNSEEN_NOISE_CATEGORY\SPK_003__artillery_blast_dhanush__-10dB__primary.wav,mixed\TEST_C_UNSEEN_NOISE_CATEGORY\SPK_003__artillery_blast_dhanush__-10dB__reference.wav,clean\SPK_003_clean.wav,53e5f351edbd444d14fd496a679c41e88f0d7d77690017b09690790ceb8ba09f
SPK_004__tank_engine_t90__-10dB,TRAIN,SPK_004,tank_engine_t90,STATIONARY,STANDARDIZED_SIMULATION,-10.0,-10.0,0.0,0,0.0,3.0,0.357352,0.340751,mixed\TRAIN\SPK_004__tank_engine_t90__-10dB__primary.wav,mixed\TRAIN\SPK_004__tank_engine_t90__-10dB__reference.wav,clean\SPK_004_clean.wav,63c8af78bde0c4d11ecfd7dece0b7e9fa22b32053cc656f258a4f44d997ca1c9
SPK_004__diesel_idle_apc__+5dB,TRAIN,SPK_004,diesel_idle_apc,STATIONARY,STANDARDIZED_SIMULATION,5.0,5.0,0.0,0,0.0,3.0,0.123608,0.060595,mixed\TRAIN\SPK_004__diesel_idle_apc__+5dB__primary.wav,mixed\TRAIN\SPK_004__diesel_idle_apc__+5dB__reference.wav,clean\SPK_004_clean.wav,e55223c60e9c39463b39cda885dd5bf7bee9207b3f4b081d982f1b5611eff61d
SPK_004__generator_hum_50hz__+5dB,TRAIN,SPK_004,generator_hum_50hz,STATIONARY,STANDARDIZED_SIMULATION,5.0,5.0,0.0,0,0.0,3.0,0.123608,0.060595,mixed\TRAIN\SPK_004__generator_hum_50hz__+5dB__primary.wav,mixed\TRAIN\SPK_004__generator_hum_50hz__+5dB__reference.wav,clean\SPK_004_clean.wav,94a285c1bd12a3862920ba89b0d6eac6470140e049b9eeadd7cf254c62a1326a
SPK_004__helicopter_rotor_dhruv__+15dB,TRAIN,SPK_004,helicopter_rotor_dhruv,PERIODIC_ROTOR,STANDARDIZED_SIMULATION,15.0,15.0,0.0,0,0.0,3.0,0.109431,0.019162,mixed\TRAIN\SPK_004__helicopter_rotor_dhruv__+15dB__primary.wav,mixed\TRAIN\SPK_004__helicopter_rotor_dhruv__+15dB__reference.wav,clean\SPK_004_clean.wav,1fbd1e4bcfc9a09131cb0978549a14bf21663deaf7d83d41efe111866d93f51a
SPK_004__propeller_rotor_an32__+15dB,TRAIN,SPK_004,propeller_rotor_an32,PERIODIC_ROTOR,STANDARDIZED_SIMULATION,15.0,15.0,0.0,0,0.0,3.0,0.109431,0.019162,mixed\TRAIN\SPK_004__propeller_rotor_an32__+15dB__primary.wav,mixed\TRAIN\SPK_004__propeller_rotor_an32__+15dB__reference.wav,clean\SPK_004_clean.wav,8ebed29aea1e36e58e5d986ed99422b63839c1d826a91b2978044a2f42157ae4
SPK_004__vehicle_acceleration_track__-5dB,TRAIN,SPK_004,vehicle_acceleration_track,NON_STATIONARY,STANDARDIZED_SIMULATION,-5.0,-5.0,0.0,0,0.0,3.0,0.21981,0.191618,mixed\TRAIN\SPK_004__vehicle_acceleration_track__-5dB__primary.wav,mixed\TRAIN\SPK_004__vehicle_acceleration_track__-5dB__reference.wav,clean\SPK_004_clean.wav,a8b512a0f93de8bcb24dc0f317ef842b187ee3b7fe975f3c47610f57ecf5e9dd
SPK_004__tactical_siren_sweep__-10dB,TRAIN,SPK_004,tactical_siren_sweep,NON_STATIONARY,STANDARDIZED_SIMULATION,-10.0,-10.0,0.0,0,0.0,3.0,0.357307,0.340751,mixed\TRAIN\SPK_004__tactical_siren_sweep__-10dB__primary.wav,mixed\TRAIN\SPK_004__tactical_siren_sweep__-10dB__reference.wav,clean\SPK_004_clean.wav,2382707919cac0faeb58d0f17a27666645b04f5939ef8ece40942a806e285242
SPK_004__tank_engine_heldout_rec__+0dB,TEST_B_UNSEEN_NOISE_REC,SPK_004,tank_engine_heldout_rec,STATIONARY,STANDARDIZED_SIMULATION,0.0,-0.0,0.15,0,0.0,3.0,0.152366,0.108956,mixed\TEST_B_UNSEEN_NOISE_REC\SPK_004__tank_engine_heldout_rec__+0dB__primary.wav,mixed\TEST_B_UNSEEN_NOISE_REC\SPK_004__tank_engine_heldout_rec__+0dB__reference.wav,clean\SPK_004_clean.wav,00d695973e15ca890d1263fdbbbe744b05ac610e7e397e4cf22d072646270761
SPK_004__helicopter_rotor_heldout_rec__+15dB,TEST_B_UNSEEN_NOISE_REC,SPK_004,helicopter_rotor_heldout_rec,PERIODIC_ROTOR,STANDARDIZED_SIMULATION,15.0,15.0,0.15,0,0.0,3.0,0.109431,0.025059,mixed\TEST_B_UNSEEN_NOISE_REC\SPK_004__helicopter_rotor_heldout_rec__+15dB__primary.wav,mixed\TEST_B_UNSEEN_NOISE_REC\SPK_004__helicopter_rotor_heldout_rec__+15dB__reference.wav,clean\SPK_004_clean.wav,1fbd1e4bcfc9a09131cb0978549a14bf21663deaf7d83d41efe111866d93f51a
SPK_004__gunfire_transient_insas__+0dB,TEST_C_UNSEEN_NOISE_CATEGORY,SPK_004,gunfire_transient_insas,IMPULSIVE_DEFENCE,STANDARDIZED_SIMULATION,0.0,0.0,0.0,0,0.0,3.0,0.152111,0.107755,mixed\TEST_C_UNSEEN_NOISE_CATEGORY\SPK_004__gunfire_transient_insas__+0dB__primary.wav,mixed\TEST_C_UNSEEN_NOISE_CATEGORY\SPK_004__gunfire_transient_insas__+0dB__reference.wav,clean\SPK_004_clean.wav,b159a6dd996248ba721fcbed671a50b7b1631dafcc63ed830cf16c15a0dcb811
SPK_004__artillery_blast_dhanush__-5dB,TEST_C_UNSEEN_NOISE_CATEGORY,SPK_004,artillery_blast_dhanush,IMPULSIVE_DEFENCE,STANDARDIZED_SIMULATION,-5.0,-5.0,0.0,0,0.0,3.0,0.219874,0.191618,mixed\TEST_C_UNSEEN_NOISE_CATEGORY\SPK_004__artillery_blast_dhanush__-5dB__primary.wav,mixed\TEST_C_UNSEEN_NOISE_CATEGORY\SPK_004__artillery_blast_dhanush__-5dB__reference.wav,clean\SPK_004_clean.wav,2ce63f21184887195701507e6c8a9cbbd9bc4070a789530a8773398e8e6699cf
SPK_005__tank_engine_t90__+0dB,TRAIN,SPK_005,tank_engine_t90,STATIONARY,STANDARDIZED_SIMULATION,0.0,-0.0,0.0,0,-1.0,3.0,0.154525,0.097404,mixed\TRAIN\SPK_005__tank_engine_t90__+0dB__primary.wav,mixed\TRAIN\SPK_005__tank_engine_t90__+0dB__reference.wav,clean\SPK_005_clean.wav,8d9adb74ad677b75f152dcfd61657ea602fbaa8d78dd5c93dfdcec5badde1d6c
SPK_005__diesel_idle_apc__-10dB,TRAIN,SPK_005,diesel_idle_apc,STATIONARY,STANDARDIZED_SIMULATION,-10.0,-10.0,0.0,0,-1.0,3.0,0.362426,0.308019,mixed\TRAIN\SPK_005__diesel_idle_apc__-10dB__primary.wav,mixed\TRAIN\SPK_005__diesel_idle_apc__-10dB__reference.wav,clean\SPK_005_clean.wav,43829c8ab70abf9e7237f5b05e7c46edd7773ba57cdf023baad168b2d5f374b0
SPK_005__generator_hum_50hz__+5dB,TRAIN,SPK_005,generator_hum_50hz,STATIONARY,STANDARDIZED_SIMULATION,5.0,5.0,0.0,0,-1.0,3.0,0.125361,0.054774,mixed\TRAIN\SPK_005__generator_hum_50hz__+5dB__primary.wav,mixed\TRAIN\SPK_005__generator_hum_50hz__+5dB__reference.wav,clean\SPK_005_clean.wav,bed4bf5821240f6a644fe3fbdcd216b311a87111ab271298dc4dbd50eb222223
SPK_005__helicopter_rotor_dhruv__+0dB,TRAIN,SPK_005,helicopter_rotor_dhruv,PERIODIC_ROTOR,STANDARDIZED_SIMULATION,0.0,-0.0,0.0,0,-1.0,3.0,0.154522,0.097404,mixed\TRAIN\SPK_005__helicopter_rotor_dhruv__+0dB__primary.wav,mixed\TRAIN\SPK_005__helicopter_rotor_dhruv__+0dB__reference.wav,clean\SPK_005_clean.wav,42a3a33e6ef1fcd0f6f2038b4ed2db576fd319e4887b65da2d73a83114061bc8
SPK_005__propeller_rotor_an32__+10dB,TRAIN,SPK_005,propeller_rotor_an32,PERIODIC_ROTOR,STANDARDIZED_SIMULATION,10.0,10.0,0.0,0,-1.0,3.0,0.114608,0.030802,mixed\TRAIN\SPK_005__propeller_rotor_an32__+10dB__primary.wav,mixed\TRAIN\SPK_005__propeller_rotor_an32__+10dB__reference.wav,clean\SPK_005_clean.wav,b3f13a6b219096ab82bd90792ddf6c754615db3a4e3b062c81e5520d03188b23
SPK_005__vehicle_acceleration_track__+10dB,TRAIN,SPK_005,vehicle_acceleration_track,NON_STATIONARY,STANDARDIZED_SIMULATION,10.0,10.0,0.0,0,-1.0,3.0,0.114609,0.030802,mixed\TRAIN\SPK_005__vehicle_acceleration_track__+10dB__primary.wav,mixed\TRAIN\SPK_005__vehicle_acceleration_track__+10dB__reference.wav,clean\SPK_005_clean.wav,aaf442de54611856f70c3147af5b8b7f329be28732e2750830666c10170a7525
SPK_005__tactical_siren_sweep__-5dB,TRAIN,SPK_005,tactical_siren_sweep,NON_STATIONARY,STANDARDIZED_SIMULATION,-5.0,-5.0,0.0,0,-1.0,3.0,0.222924,0.173212,mixed\TRAIN\SPK_005__tactical_siren_sweep__-5dB__primary.wav,mixed\TRAIN\SPK_005__tactical_siren_sweep__-5dB__reference.wav,clean\SPK_005_clean.wav,9ee6e9404143cd183e53d35dcf1a36fbc96ac3ccfaa596388bddaea640f55f0b
SPK_005__tank_engine_heldout_rec__+5dB,TEST_B_UNSEEN_NOISE_REC,SPK_005,tank_engine_heldout_rec,STATIONARY,STANDARDIZED_SIMULATION,5.0,5.0,0.15,0,-1.0,3.0,0.125361,0.057168,mixed\TEST_B_UNSEEN_NOISE_REC\SPK_005__tank_engine_heldout_rec__+5dB__primary.wav,mixed\TEST_B_UNSEEN_NOISE_REC\SPK_005__tank_engine_heldout_rec__+5dB__reference.wav,clean\SPK_005_clean.wav,f574d4a03bc54247e3f2dcd1229c77194b9245b7f620137bd0d0b40cb056e878
SPK_005__helicopter_rotor_heldout_rec__+10dB,TEST_B_UNSEEN_NOISE_REC,SPK_005,helicopter_rotor_heldout_rec,PERIODIC_ROTOR,STANDARDIZED_SIMULATION,10.0,10.0,0.15,0,-1.0,3.0,0.114608,0.034886,mixed\TEST_B_UNSEEN_NOISE_REC\SPK_005__helicopter_rotor_heldout_rec__+10dB__primary.wav,mixed\TEST_B_UNSEEN_NOISE_REC\SPK_005__helicopter_rotor_heldout_rec__+10dB__reference.wav,clean\SPK_005_clean.wav,cce4d50bf4a3216b6f20a6d25e20fe4b51180c186d41dc142c2737f0077fc656
